"expertnb","mode","values","logHR values","p","weight","best.fit","LHR mean","LHR sd","mean","sd","baseline"
4,"UnconditionalG1",6,-1.1654,0,0,"Normal",-0.1229,0.092,16.1538,1.3825,18
4,"UnconditionalG1",9,-0.7439,0,0,"Normal",-0.1229,0.092,16.1538,1.3825,18
4,"UnconditionalG1",12,-0.4398,0,0,"Normal",-0.1229,0.092,16.1538,1.3825,18
4,"UnconditionalG1",15,-0.1997,0.202020202020202,0.2,"Normal",-0.1229,0.092,16.1538,1.3825,18
4,"UnconditionalG1",18,0,0.909090909090909,0.71,"Normal",-0.1229,0.092,16.1538,1.3825,18
4,"UnconditionalG1",21,0.1721,1,0.09,"Normal",-0.1229,0.092,16.1538,1.3825,18
4,"UnconditionalG1",24,0.3242,1,0,"Normal",-0.1229,0.092,16.1538,1.3825,18
4,"UnconditionalG1",27,0.4611,1,0,"Normal",-0.1229,0.092,16.1538,1.3825,18
4,"UnconditionalG1",30,0.5863,1,0,"Normal",-0.1229,0.092,16.1538,1.3825,18
4,"UnconditionalG1",33,0.7021,1,0,"Normal",-0.1229,0.092,16.1538,1.3825,18
