"expertnb","mode","values","logHR values","p","weight","best.fit","LHR mean","LHR sd","mean","sd","baseline"
3,"UnconditionalG1",6,-1.1654,0,0,"Normal",-0.2054,0.1691,15,2.3322,18
3,"UnconditionalG1",9,-0.7439,0,0,"Normal",-0.2054,0.1691,15,2.3322,18
3,"UnconditionalG1",12,-0.4398,0.1,0.1,"Normal",-0.2054,0.1691,15,2.3322,18
3,"UnconditionalG1",15,-0.1997,0.5,0.4,"Normal",-0.2054,0.1691,15,2.3322,18
3,"UnconditionalG1",18,0,0.9,0.4,"Normal",-0.2054,0.1691,15,2.3322,18
3,"UnconditionalG1",21,0.1721,1,0.1,"Normal",-0.2054,0.1691,15,2.3322,18
3,"UnconditionalG1",24,0.3242,1,0,"Normal",-0.2054,0.1691,15,2.3322,18
3,"UnconditionalG1",27,0.4611,1,0,"Normal",-0.2054,0.1691,15,2.3322,18
3,"UnconditionalG1",30,0.5863,1,0,"Normal",-0.2054,0.1691,15,2.3322,18
3,"UnconditionalG1",33,0.7021,1,0,"Normal",-0.2054,0.1691,15,2.3322,18
