"expertnb","mode","values","logHR values","p","weight","best.fit","LHR mean","LHR sd","mean","sd","baseline"
2,"Conditional1G3",5,-0.9988,0,0,"Normal",-0.0123,0.2025,12.9576,2.4603,13
2,"Conditional1G3",7,-0.6518,0,0,"Normal",-0.0123,0.2025,12.9576,2.4603,13
2,"Conditional1G3",9,-0.3898,0.0606060606060606,0.06,"Normal",-0.0123,0.2025,12.9576,2.4603,13
2,"Conditional1G3",11,-0.1782,0.212121212121212,0.15,"Normal",-0.0123,0.2025,12.9576,2.4603,13
2,"Conditional1G3",13,0,0.505050505050505,0.29,"Normal",-0.0123,0.2025,12.9576,2.4603,13
2,"Conditional1G3",15,0.1544,0.797979797979798,0.29,"Normal",-0.0123,0.2025,12.9576,2.4603,13
2,"Conditional1G3",17,0.2912,0.94949494949495,0.15,"Normal",-0.0123,0.2025,12.9576,2.4603,13
2,"Conditional1G3",19,0.4142,1,0.05,"Normal",-0.0123,0.2025,12.9576,2.4603,13
2,"Conditional1G3",21,0.5263,1,0,"Normal",-0.0123,0.2025,12.9576,2.4603,13
2,"Conditional1G3",23,0.6296,1,0,"Normal",-0.0123,0.2025,12.9576,2.4603,13
