"expertnb","mode","values","logHR values","p","weight","best.fit","LHR mean","LHR sd","mean","sd","baseline"
3,"Conditional2G2",12,-0.764,0,0,"Normal",-0.5062,0.0494,15.2845,0.7939,24
3,"Conditional2G2",15,-0.5239,0.36,0.36,"Normal",-0.5062,0.0494,15.2845,0.7939,24
3,"Conditional2G2",18,-0.3242,1,0.64,"Normal",-0.5062,0.0494,15.2845,0.7939,24
3,"Conditional2G2",21,-0.1521,1,0,"Normal",-0.5062,0.0494,15.2845,0.7939,24
3,"Conditional2G2",24,0,1,0,"Normal",-0.5062,0.0494,15.2845,0.7939,24
3,"Conditional2G2",27,0.1369,1,0,"Normal",-0.5062,0.0494,15.2845,0.7939,24
3,"Conditional2G2",30,0.2621,1,0,"Normal",-0.5062,0.0494,15.2845,0.7939,24
3,"Conditional2G2",33,0.3779,1,0,"Normal",-0.5062,0.0494,15.2845,0.7939,24
3,"Conditional2G2",36,0.4862,1,0,"Normal",-0.5062,0.0494,15.2845,0.7939,24
3,"Conditional2G2",39,0.5884,1,0,"Normal",-0.5062,0.0494,15.2845,0.7939,24
