"expertnb","mode","values","logHR values","p","weight","logHR","best.fit","LHR mean","LHR sd","mean","sd","baseline"
"combined","Conditional2G2",12,-0.764,0,0,NA,"Normal",-0.3451,0.1486,17.7282,2.3515,24
"combined","Conditional2G2",15,-0.5239,0.105,0.1,-0.6378,"Normal",-0.3451,0.1486,17.7282,2.3515,24
"combined","Conditional2G2",18,-0.3242,0.565,0.46,-0.42,"Normal",-0.3451,0.1486,17.7282,2.3515,24
"combined","Conditional2G2",21,-0.1521,0.895,0.33,-0.2352,"Normal",-0.3451,0.1486,17.7282,2.3515,24
"combined","Conditional2G2",24,0,0.975,0.08,-0.0739,"Normal",-0.3451,0.1486,17.7282,2.3515,24
"combined","Conditional2G2",27,0.1369,0.99,0.02,0.0701,"Normal",-0.3451,0.1486,17.7282,2.3515,24
"combined","Conditional2G2",30,0.2621,1,0.01,0.2008,"Normal",-0.3451,0.1486,17.7282,2.3515,24
"combined","Conditional2G2",33,0.3779,1,0,NA,"Normal",-0.3451,0.1486,17.7282,2.3515,24
"combined","Conditional2G2",36,0.4862,1,0,NA,"Normal",-0.3451,0.1486,17.7282,2.3515,24
"combined","Conditional2G2",39,0.5884,1,0,NA,"Normal",-0.3451,0.1486,17.7282,2.3515,24
