"expertnb","mode","values","logHR values","p","weight","logHR","best.fit","LHR mean","LHR sd","mean","sd","baseline"
1,"UnconditionalG1",6,-1.1654,0,0,NA,"Normal",-0.1758,0.1219,15.2633,0.7344,18
1,"UnconditionalG1",9,-0.7439,0,0,NA,"Normal",-0.1758,0.1219,15.2633,0.7344,18
1,"UnconditionalG1",12,-0.4398,0,0,NA,"Normal",-0.1758,0.1219,15.2633,0.7344,18
1,"UnconditionalG1",15,-0.1997,0.36,0.36,-0.3136,"Normal",-0.1758,0.1219,15.2633,0.7344,18
1,"UnconditionalG1",18,0,1,0.64,-0.0958,"Normal",-0.1758,0.1219,15.2633,0.7344,18
1,"UnconditionalG1",21,0.1721,1,0,NA,"Normal",-0.1758,0.1219,15.2633,0.7344,18
1,"UnconditionalG1",24,0.3242,1,0,NA,"Normal",-0.1758,0.1219,15.2633,0.7344,18
1,"UnconditionalG1",27,0.4611,1,0,NA,"Normal",-0.1758,0.1219,15.2633,0.7344,18
1,"UnconditionalG1",30,0.5863,1,0,NA,"Normal",-0.1758,0.1219,15.2633,0.7344,18
1,"UnconditionalG1",33,0.7021,1,0,NA,"Normal",-0.1758,0.1219,15.2633,0.7344,18
