"expertnb","mode","values","logHR values","p","weight","logHR","best.fit","LHR mean","LHR sd","mean","sd","baseline"
"combined","UnconditionalG2",12,-0.764,0,0,NA,"Normal",-0.2282,0.1242,19.678,2.1712,24
"combined","UnconditionalG2",15,-0.5239,0.015,0.02,-0.6378,"Normal",-0.2282,0.1242,19.678,2.1712,24
"combined","UnconditionalG2",18,-0.3242,0.215,0.2,-0.42,"Normal",-0.2282,0.1242,19.678,2.1712,24
"combined","UnconditionalG2",21,-0.1521,0.7375,0.52,-0.2352,"Normal",-0.2282,0.1242,19.678,2.1712,24
"combined","UnconditionalG2",24,0,0.95,0.21,-0.0739,"Normal",-0.2282,0.1242,19.678,2.1712,24
"combined","UnconditionalG2",27,0.1369,1,0.05,0.0701,"Normal",-0.2282,0.1242,19.678,2.1712,24
"combined","UnconditionalG2",30,0.2621,1,0,NA,"Normal",-0.2282,0.1242,19.678,2.1712,24
"combined","UnconditionalG2",33,0.3779,1,0,NA,"Normal",-0.2282,0.1242,19.678,2.1712,24
"combined","UnconditionalG2",36,0.4862,1,0,NA,"Normal",-0.2282,0.1242,19.678,2.1712,24
"combined","UnconditionalG2",39,0.5884,1,0,NA,"Normal",-0.2282,0.1242,19.678,2.1712,24
