"expertnb","mode","values","logHR values","p","weight","logHR","best.fit","LHR mean","LHR sd","mean","sd","baseline"
3,"UnconditionalG2",12,-0.764,0,0,NA,"Normal",-0.2409,0.1208,19.5,1.775,24
3,"UnconditionalG2",15,-0.5239,0,0,NA,"Normal",-0.2409,0.1208,19.5,1.775,24
3,"UnconditionalG2",18,-0.3242,0.2,0.2,-0.42,"Normal",-0.2409,0.1208,19.5,1.775,24
3,"UnconditionalG2",21,-0.1521,0.8,0.6,-0.2352,"Normal",-0.2409,0.1208,19.5,1.775,24
3,"UnconditionalG2",24,0,1,0.2,-0.0739,"Normal",-0.2409,0.1208,19.5,1.775,24
3,"UnconditionalG2",27,0.1369,1,0,NA,"Normal",-0.2409,0.1208,19.5,1.775,24
3,"UnconditionalG2",30,0.2621,1,0,NA,"Normal",-0.2409,0.1208,19.5,1.775,24
3,"UnconditionalG2",33,0.3779,1,0,NA,"Normal",-0.2409,0.1208,19.5,1.775,24
3,"UnconditionalG2",36,0.4862,1,0,NA,"Normal",-0.2409,0.1208,19.5,1.775,24
3,"UnconditionalG2",39,0.5884,1,0,NA,"Normal",-0.2409,0.1208,19.5,1.775,24
