"expertnb","mode","values","logHR values","p","weight","logHR","best.fit","LHR mean","LHR sd","mean","sd","baseline"
"combined","UnconditionalG3",5,-0.9988,0,0,NA,"Normal",-0.1996,0.1541,10.826,1.5386,13
"combined","UnconditionalG3",7,-0.6518,0,0,NA,"Normal",-0.1996,0.1541,10.826,1.5386,13
"combined","UnconditionalG3",9,-0.3898,0.09,0.09,-0.5129,"Normal",-0.1996,0.1541,10.826,1.5386,13
"combined","UnconditionalG3",11,-0.1782,0.5725,0.48,-0.279,"Normal",-0.1996,0.1541,10.826,1.5386,13
"combined","UnconditionalG3",13,0,0.8875,0.31,-0.0856,"Normal",-0.1996,0.1541,10.826,1.5386,13
"combined","UnconditionalG3",15,0.1544,0.96,0.07,0.0797,"Normal",-0.1996,0.1541,10.826,1.5386,13
"combined","UnconditionalG3",17,0.2912,1,0.04,0.2247,"Normal",-0.1996,0.1541,10.826,1.5386,13
"combined","UnconditionalG3",19,0.4142,1,0,NA,"Normal",-0.1996,0.1541,10.826,1.5386,13
"combined","UnconditionalG3",21,0.5263,1,0,NA,"Normal",-0.1996,0.1541,10.826,1.5386,13
"combined","UnconditionalG3",23,0.6296,1,0,NA,"Normal",-0.1996,0.1541,10.826,1.5386,13
