"expertnb","mode","values","logHR values","p","weight","best.fit","LHR mean","LHR sd","mean","sd","baseline"
2,"UnconditionalG3",5,-0.9988,0,0,"Normal",-0.0431,0.2013,12.5984,2.3811,13
2,"UnconditionalG3",7,-0.6518,0,0,"Normal",-0.0431,0.2013,12.5984,2.3811,13
2,"UnconditionalG3",9,-0.3898,0.06,0.06,"Normal",-0.0431,0.2013,12.5984,2.3811,13
2,"UnconditionalG3",11,-0.1782,0.27,0.21,"Normal",-0.0431,0.2013,12.5984,2.3811,13
2,"UnconditionalG3",13,0,0.55,0.28,"Normal",-0.0431,0.2013,12.5984,2.3811,13
2,"UnconditionalG3",15,0.1544,0.84,0.29,"Normal",-0.0431,0.2013,12.5984,2.3811,13
2,"UnconditionalG3",17,0.2912,1,0.16,"Normal",-0.0431,0.2013,12.5984,2.3811,13
2,"UnconditionalG3",19,0.4142,1,0,"Normal",-0.0431,0.2013,12.5984,2.3811,13
2,"UnconditionalG3",21,0.5263,1,0,"Normal",-0.0431,0.2013,12.5984,2.3811,13
2,"UnconditionalG3",23,0.6296,1,0,"Normal",-0.0431,0.2013,12.5984,2.3811,13
