"expertnb","mode","values","logHR values","p","weight","best.fit","LHR mean","LHR sd","mean","sd","baseline"
2,"Conditional1G2",12,-0.764,0,0,"Normal",-0.0813,0.211,22.5,4.1918,24
2,"Conditional1G2",15,-0.5239,0.06,0.06,"Normal",-0.0813,0.211,22.5,4.1918,24
2,"Conditional1G2",18,-0.3242,0.14,0.08,"Normal",-0.0813,0.211,22.5,4.1918,24
2,"Conditional1G2",21,-0.1521,0.34,0.2,"Normal",-0.0813,0.211,22.5,4.1918,24
2,"Conditional1G2",24,0,0.66,0.32,"Normal",-0.0813,0.211,22.5,4.1918,24
2,"Conditional1G2",27,0.1369,0.86,0.2,"Normal",-0.0813,0.211,22.5,4.1918,24
2,"Conditional1G2",30,0.2621,0.94,0.08,"Normal",-0.0813,0.211,22.5,4.1918,24
2,"Conditional1G2",33,0.3779,1,0.06,"Normal",-0.0813,0.211,22.5,4.1918,24
2,"Conditional1G2",36,0.4862,1,0,"Normal",-0.0813,0.211,22.5,4.1918,24
2,"Conditional1G2",39,0.5884,1,0,"Normal",-0.0813,0.211,22.5,4.1918,24
