"expertnb","mode","values","logHR values","p","weight","logHR","best.fit","LHR mean","LHR sd","mean","sd","baseline"
"combined","Conditional1G2",12,-0.764,0,0,NA,"Normal",-0.0934,0.1245,22.1601,2.4611,24
"combined","Conditional1G2",15,-0.5239,0.015,0.02,-0.6378,"Normal",-0.0934,0.1245,22.1601,2.4611,24
"combined","Conditional1G2",18,-0.3242,0.085,0.07,-0.42,"Normal",-0.0934,0.1245,22.1601,2.4611,24
"combined","Conditional1G2",21,-0.1521,0.295,0.21,-0.2352,"Normal",-0.0934,0.1245,22.1601,2.4611,24
"combined","Conditional1G2",24,0,0.79,0.5,-0.0739,"Normal",-0.0934,0.1245,22.1601,2.4611,24
"combined","Conditional1G2",27,0.1369,0.965,0.17,0.0701,"Normal",-0.0934,0.1245,22.1601,2.4611,24
"combined","Conditional1G2",30,0.2621,0.985,0.02,0.2008,"Normal",-0.0934,0.1245,22.1601,2.4611,24
"combined","Conditional1G2",33,0.3779,1,0.02,0.3211,"Normal",-0.0934,0.1245,22.1601,2.4611,24
"combined","Conditional1G2",36,0.4862,1,0,NA,"Normal",-0.0934,0.1245,22.1601,2.4611,24
"combined","Conditional1G2",39,0.5884,1,0,NA,"Normal",-0.0934,0.1245,22.1601,2.4611,24
